std_openmp
5,21.0
10,37.0
15,59.0
20,67.5
25,72.0
30,78.5
35,83.0
40,89.5
45,98.0
50,112.0
55,119.5
60,129.5
65,138.0
70,145.0
75,154.0
80,168.0
85,175.5
90,194.0
95,194.5
